Total (kWh),ANNEE,MOIS_sin,MOIS_cos,population,SECTEUR_AGRICOLE,SECTEUR_COMMERCIAL,SECTEUR_INDUSTRIEL,SECTEUR_INSTITUTIONNEL,SECTEUR_RÉSIDENTIEL,REGION_ADM_QC_TXT_Abitibi-Témiscamingue,REGION_ADM_QC_TXT_Bas-Saint-Laurent,REGION_ADM_QC_TXT_Capitale-Nationale,REGION_ADM_QC_TXT_Centre-du-Québec,REGION_ADM_QC_TXT_Chaudière-Appalaches,REGION_ADM_QC_TXT_Côte-Nord,REGION_ADM_QC_TXT_Estrie,REGION_ADM_QC_TXT_Gaspésie--Îles-de-la-Madeleine,REGION_ADM_QC_TXT_Lanaudière,REGION_ADM_QC_TXT_Laurentides,REGION_ADM_QC_TXT_Laval,REGION_ADM_QC_TXT_Mauricie,REGION_ADM_QC_TXT_Montréal,REGION_ADM_QC_TXT_Montérégie,REGION_ADM_QC_TXT_Nord-du-Québec,REGION_ADM_QC_TXT_Outaouais,REGION_ADM_QC_TXT_Saguenay--Lac-Saint-Jean
0.0013315554510158246,2017,-0.5000000000000004,0.8660254037844384,0.04968806329975853,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.020642670369293892,2017,-0.5000000000000004,0.8660254037844384,0.04968806329975853,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.07607003169686724,2017,-2.4492935982947064e-16,1.0,0.04968806329975853,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.014244101958249792,2018,0.49999999999999994,0.8660254037844387,0.04964835081812555,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0015308806529551863,2018,0.8660254037844386,0.5000000000000001,0.04964835081812555,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.06407593129324916,2018,0.8660254037844386,0.5000000000000001,0.04964835081812555,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.022271333307172583,2018,1.0,6.123233995736766e-17,0.04964835081812555,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.13638251726136913,2018,1.0,6.123233995736766e-17,0.04964835081812555,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.011553917112972538,2018,1.0,6.123233995736766e-17,0.04964835081812555,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.05895082536881339,2018,1.0,6.123233995736766e-17,0.04964835081812555,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0010672614537100252,2018,0.49999999999999994,-0.8660254037844387,0.04964835081812555,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.016438813998086124,2018,0.49999999999999994,-0.8660254037844387,0.04964835081812555,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.03146221492096739,2018,0.49999999999999994,-0.8660254037844387,0.04964835081812555,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.12382460434569753,2018,1.2246467991473532e-16,-1.0,0.04964835081812555,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.00647796830760061,2018,1.2246467991473532e-16,-1.0,0.04964835081812555,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.006513279218691691,2018,-0.4999999999999997,-0.8660254037844388,0.04964835081812555,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.02399060161081107,2018,-0.4999999999999997,-0.8660254037844388,0.04964835081812555,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.023995607150449058,2018,-0.8660254037844385,-0.5000000000000004,0.04964835081812555,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.007191784350835404,2018,-1.0,-1.8369701987210297e-16,0.04964835081812555,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.011292333998266383,2018,-0.5000000000000004,0.8660254037844384,0.04964835081812555,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.02314726638700407,2018,-2.4492935982947064e-16,1.0,0.04964835081812555,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.13509260604073733,2018,-2.4492935982947064e-16,1.0,0.04964835081812555,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0127390636893984,2018,-2.4492935982947064e-16,1.0,0.04964835081812555,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.014484810170578257,2019,0.49999999999999994,0.8660254037844387,0.04964980371379506,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.08176769479762698,2019,0.49999999999999994,0.8660254037844387,0.04964980371379506,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
